"REGION,YEAR,WEEK,FertilityRate,Education,Policy,FamilyPlanning"
"New York City,2015,2,3.23343,3364,92,104038"
"Alabama,2015,3,9.66053,1033,24,10693"
"Alaska,2015,3,2.09351,30,8,1433"
"Arizona,2015,3,3.87231,763,54,19704"
"Arkansas,2015,3,7.92445,365,16,4606"
"California,2015,3,4.88005,2140,152,43852"
"Colorado,2015,3,2.68916,102,5,3793"
"Connecticut,2015,3,5.03205,157,20,3120"
"Delaware,2015,3,3.54913,108,13,3043"
"District of Columbia,2015,3,6.64606,86,2,1294"
"Florida,2015,3,X,X,X,X"
"Georgia,2015,3,2.36744,588,35,24837"
"Hawaii,2015,3,15.7855,415,19,2629"
"Idaho,2015,3,6.13566,218,10,3553"
"Illinois,2015,3,2.21313,1158,93,52324"
"Indiana,2015,3,1.99163,176,39,8837"
"Iowa,2015,3,2.58475,61,10,2360"
"Kansas,2015,3,6.72863,485,31,7208"
"Kentucky,2015,3,1.09457,239,21,21835"
"Louisiana,2015,3,5.40748,2471,74,45696"
"Maine,2015,3,3.08197,188,31,6100"
"Maryland,2015,3,2.51534,291,25,11569"
"Massachusetts,2015,3,3.55623,961,51,27023"
"Michigan,2015,3,1.89619,278,52,14661"
"Minnesota,2015,3,3.62635,158,14,4357"
"Mississippi,2015,3,6.33119,1238,48,19554"
"Missouri,2015,3,3.2881,189,22,5748"
"Montana,2015,3,1.84049,57,11,3097"
"Nebraska,2015,3,5.80942,164,14,2823"
"Nevada,2015,3,3.99324,520,29,13022"
"New Hampshire,2015,3,1.9408,99,27,5101"
"New Jersey,2015,3,4.97434,378,24,7599"
"New Mexico,2015,3,4.23064,507,26,11984"
"New York,2015,3,5.58831,635,82,11363"
"North Carolina,2015,3,4.64486,703,51,15135"
"North Dakota,2015,3,5.93359,109,9,1837"
"Ohio,2015,3,1.86139,271,54,14559"
"Oklahoma,2015,3,11.3323,279,17,2462"
"Oregon,2015,3,2.16042,87,17,4027"
"Pennsylvania,2015,3,5.3234,893,47,16775"
"Rhode Island,2015,3,4.52086,259,19,5729"
"South Carolina,2015,3,2.04403,117,13,5724"
"South Dakota,2015,3,3.34881,202,24,6032"
"Tennessee,2015,3,3.76675,385,54,10221"
"Texas,2015,3,7.17791,2984,99,41572"
"Utah,2015,3,3.77937,690,43,18257"
"Vermont,2015,3,6.78543,259,13,3817"
"Virginia,2015,3,4.34338,3524,125,81135"
"Washington,2015,3,3.60444,156,40,4328"
"West Virginia,2015,3,6.23661,1077,45,17269"
"Wisconsin,2015,3,2.78228,189,30,6793"
"Wyoming,2015,3,3.46154,216,24,6240"
"Puerto Rico,2015,3,7.16591,333,6,4647"
"Virgin Islands,2015,3,2.21607,8,1,361"
"New York City,2015,3,3.53847,3861,94,109115"
"Alabama,2015,4,8.53614,933,23,10930"
"Alaska,2015,4,0.947522,13,8,1372"
"Arizona,2015,4,3.55294,858,58,24149"
"Arkansas,2015,4,7.30102,366,17,5013"
"California,2015,4,5.01063,2452,155,48936"
"Colorado,2015,4,2.81489,118,6,4192"
"Connecticut,2015,4,5.03132,241,20,4790"
"Delaware,2015,4,2.77865,89,12,3203"
"District of Columbia,2015,4,8.43223,135,2,1601"
"Florida,2015,4,X,X,X,X"
"Georgia,2015,4,2.21998,551,34,24820"
"Hawaii,2015,4,15.5854,418,20,2682"
"Idaho,2015,4,5.7796,225,10,3893"
"Illinois,2015,4,2.28888,1153,81,50374"
"Indiana,2015,4,1.77683,150,37,8442"
"Iowa,2015,4,2.32198,60,10,2584"
"Kansas,2015,4,7.09809,555,33,7819"
"Kentucky,2015,4,1.52083,146,22,9600"
"Louisiana,2015,4,4.5006,2066,74,45905"
"Maine,2015,4,3.33761,156,31,4674"
"Maryland,2015,4,2.25146,255,24,11326"
"Massachusetts,2015,4,2.97916,639,49,21449"
"Michigan,2015,4,1.25583,218,53,17359"
"Minnesota,2015,4,2.74324,139,15,5067"
"Mississippi,2015,4,5.59281,1126,49,20133"
"Missouri,2015,4,3.71205,247,22,6654"
"Montana,2015,4,2.0467,71,10,3469"
"Nebraska,2015,4,4.06442,106,13,2608"
"Nevada,2015,4,3.09628,438,29,14146"
"New Hampshire,2015,4,1.68977,78,27,4616"
"New Jersey,2015,4,4.80625,320,26,6658"
"New Mexico,2015,4,3.90741,498,27,12745"
"New York,2015,4,6.32707,744,85,11759"
"North Carolina,2015,4,3.47911,603,50,17332"
"North Dakota,2015,4,4.90028,86,10,1755"
"Ohio,2015,4,1.53061,228,55,14896"
"Oklahoma,2015,4,10.5877,236,16,2229"
"Oregon,2015,4,1.24717,44,12,3528"
"Pennsylvania,2015,4,4.86334,774,45,15915"
"Rhode Island,2015,4,4.11178,231,20,5618"
"South Carolina,2015,4,1.85737,131,16,7053"
"South Dakota,2015,4,2.33674,151,24,6462"
"Tennessee,2015,4,4.02164,446,50,11090"
"Texas,2015,4,6.20728,2652,103,42724"
"Utah,2015,4,3.35289,623,41,18581"
"Vermont,2015,4,5.62334,212,13,3770"
"Virginia,2015,4,4.05259,3264,125,80541"
"Washington,2015,4,3.11486,144,41,4623"
"West Virginia,2015,4,6.54133,1096,46,16755"
"Wisconsin,2015,4,2.39303,151,29,6310"
"Wyoming,2015,4,3.4508,236,25,6839"
"Puerto Rico,2015,4,7.71321,369,6,4784"
"Virgin Islands,2015,4,1.72911,6,1,347"
"New York City,2015,4,3.17927,2982,83,93795"
"Alabama,2015,5,8.2831,797,22,9622"
"Alaska,2015,5,0.992063,15,8,1512"
"Arizona,2015,5,2.98083,703,57,23584"
"Arkansas,2015,5,6.58605,305,16,4631"
"California,2015,5,4.505,2192,144,48657"
"Colorado,2015,5,2.72177,81,5,2976"
"Connecticut,2015,5,6.16069,263,20,4269"
"Delaware,2015,5,1.95035,66,12,3384"
"District of Columbia,2015,5,10.2489,140,2,1366"
"Florida,2015,5,X,X,X,X"
"Georgia,2015,5,2.03713,530,32,26017"
"Hawaii,2015,5,13.8272,392,19,2835"
"Idaho,2015,5,4.81706,183,9,3799"
"Illinois,2015,5,2.34961,1030,77,43837"
"Indiana,2015,5,2.11786,184,38,8688"
"Iowa,2015,5,1.60626,39,10,2428"
"Kansas,2015,5,6.0228,449,33,7455"
"Kentucky,2015,5,0.68693,153,23,22273"
"Louisiana,2015,5,4.40466,1934,78,43908"
"Maine,2015,5,2.56611,131,31,5105"
"Maryland,2015,5,1.77231,229,25,12921"
"Massachusetts,2015,5,2.45614,532,48,21660"
"Michigan,2015,5,1.22715,196,54,15972"
"Minnesota,2015,5,2.77726,148,15,5329"
"Mississippi,2015,5,6.16195,1264,51,20513"
"Missouri,2015,5,2.88219,240,23,8327"
"Montana,2015,5,1.28351,45,10,3506"
"Nebraska,2015,5,2.80483,72,15,2567"
"Nevada,2015,5,2.34095,333,28,14225"
"New Hampshire,2015,5,1.88324,90,26,4779"
"New Jersey,2015,5,3.53148,281,24,7957"
"New Mexico,2015,5,3.53989,449,26,12684"
"New York,2015,5,6.69472,700,80,10456"
"North Carolina,2015,5,3.27524,592,54,18075"
"North Dakota,2015,5,3.73872,87,12,2327"
"Ohio,2015,5,1.2093,182,57,15050"
"Oklahoma,2015,5,9.63973,297,17,3081"
"Oregon,2015,5,1.0434,44,15,4217"
"Pennsylvania,2015,5,4.2072,666,43,15830"
"Rhode Island,2015,5,3.5461,215,20,6063"
"South Carolina,2015,5,1.95052,123,14,6306"
"South Dakota,2015,5,2.15794,141,24,6534"
"Tennessee,2015,5,3.66886,390,51,10630"
"Texas,2015,5,5.65253,2351,102,41592"
"Utah,2015,5,3.24445,623,42,19202"
"Vermont,2015,5,6.05428,232,13,3832"
"Virginia,2015,5,3.08799,2949,126,95499"
"Washington,2015,5,2.31346,111,41,4798"
"West Virginia,2015,5,5.15766,862,44,16713"
"Wisconsin,2015,5,2.4158,170,31,7037"
"Wyoming,2015,5,3.39601,233,24,6861"
"Puerto Rico,2015,5,9.65075,467,6,4839"
"Virgin Islands,2015,5,1.00756,4,1,397"
"New York City,2015,5,2.99822,2903,93,96824"
"Alabama,2015,6,8.414,791,21,9401"
"Alaska,2015,6,1.28571,18,8,1400"
"Arizona,2015,6,2.45867,528,54,21475"
"Arkansas,2015,6,5.82108,285,17,4896"
"California,2015,6,4.0094,1774,141,44246"
"Colorado,2015,6,1.84471,67,6,3632"
"Connecticut,2015,6,6.26584,272,21,4341"
"Delaware,2015,6,1.23839,40,12,3230"
"District of Columbia,2015,6,6.7302,113,2,1679"
"Florida,2015,6,X,X,X,X"
"Georgia,2015,6,1.99984,500,30,25002"
"Hawaii,2015,6,11.6471,367,20,3151"
"Idaho,2015,6,3.92104,145,10,3698"
"Illinois,2015,6,2.37306,1288,89,54276"
"Indiana,2015,6,1.92823,180,38,9335"
"Iowa,2015,6,1.92417,34,8,1767"
"Kansas,2015,6,4.55746,345,32,7570"
"Kentucky,2015,6,0.501695,111,19,22125"
"Louisiana,2015,6,3.80911,1657,74,43501"
"Maine,2015,6,1.98849,114,31,5733"
"Maryland,2015,6,1.414,183,25,12942"
"Massachusetts,2015,6,2.16851,454,48,20936"
"Michigan,2015,6,1.13235,202,55,17839"
"Minnesota,2015,6,2.23289,107,14,4792"
"Mississippi,2015,6,5.83218,1224,49,20987"
"Missouri,2015,6,2.46064,211,21,8575"
"Montana,2015,6,0.606936,21,10,3460"
"Nebraska,2015,6,1.70599,47,15,2755"
"Nevada,2015,6,2.38325,321,28,13469"
"New Hampshire,2015,6,1.37758,66,26,4791"
"New Jersey,2015,6,3.8961,312,24,8008"
"New Mexico,2015,6,3.34272,439,26,13133"
"New York,2015,6,5.70743,666,82,11669"
"North Carolina,2015,6,3.1039,478,47,15400"
"North Dakota,2015,6,1.87553,44,11,2346"
"Ohio,2015,6,1.38487,220,54,15886"
"Oklahoma,2015,6,11.4717,304,17,2650"
"Oregon,2015,6,1.13863,40,11,3513"
"Pennsylvania,2015,6,2.83557,477,47,16822"
"Rhode Island,2015,6,2.55565,155,20,6065"
"South Carolina,2015,6,1.52505,98,14,6426"
"South Dakota,2015,6,2.36007,148,24,6271"
"Tennessee,2015,6,2.28963,237,47,10351"
"Texas,2015,6,5.05952,2104,102,41585"
"Utah,2015,6,2.87327,555,41,19316"
"Vermont,2015,6,5.58511,210,13,3760"
"Virginia,2015,6,2.64815,2662,126,100523"
"Washington,2015,6,1.74921,83,41,4745"
"West Virginia,2015,6,4.70409,771,43,16390"
"Wisconsin,2015,6,2.63659,194,29,7358"
"Wyoming,2015,6,2.54425,161,23,6328"
"Puerto Rico,2015,6,9.84674,469,6,4763"
"Virgin Islands,2015,6,1.87166,7,1,374"
"New York City,2015,6,2.65508,2587,86,97436"
"Alabama,2015,7,6.0343,556,22,9214"
"Alaska,2015,7,0.183318,2,6,1091"
"Arizona,2015,7,2.57266,563,55,21884"
"Arkansas,2015,7,5.44362,154,16,2829"
"California,2015,7,3.44632,1396,147,40507"
"Colorado,2015,7,1.80925,70,6,3869"
"Connecticut,2015,7,6.44041,241,18,3742"
"Delaware,2015,7,0.895639,23,12,2568"
"District of Columbia,2015,7,6.72269,64,2,952"
"Florida,2015,7,X,X,X,X"
"Georgia,2015,7,2.78224,675,31,24261"
"Hawaii,2015,7,10.6383,280,19,2632"
"Idaho,2015,7,3.41506,117,10,3426"
"Illinois,2015,7,2.37467,1232,95,51881"
"Indiana,2015,7,1.52127,128,37,8414"
"Iowa,2015,7,1.32649,31,8,2337"
"Kansas,2015,7,4.16726,291,30,6983"
"Kentucky,2015,7,0.488303,67,20,13721"
"Louisiana,2015,7,3.82933,1803,80,47084"
"Maine,2015,7,2.16106,95,29,4396"
"Maryland,2015,7,2.36195,145,22,6139"
"Massachusetts,2015,7,1.5576,313,47,20095"
"Michigan,2015,7,1.3043,218,53,16714"
"Minnesota,2015,7,2.31372,127,15,5489"
"Mississippi,2015,7,6.44198,1294,49,20087"
"Missouri,2015,7,2.33557,174,22,7450"
"Montana,2015,7,0.376648,12,10,3186"
"Nebraska,2015,7,1.54268,45,15,2917"
"Nevada,2015,7,1.69153,220,25,13006"
"New Hampshire,2015,7,1.30143,62,27,4764"
"New Jersey,2015,7,3.03839,239,24,7866"
"New Mexico,2015,7,2.46154,328,27,13325"
"New York,2015,7,4.02477,403,79,10013"
"North Carolina,2015,7,3.29181,407,48,12364"
"North Dakota,2015,7,2.7051,61,12,2255"
"Ohio,2015,7,1.35021,192,55,14220"
"Oklahoma,2015,7,8.99183,198,19,2202"
"Oregon,2015,7,0.85692,33,14,3851"
"Pennsylvania,2015,7,2.58566,366,41,14155"
"Rhode Island,2015,7,1.75503,95,20,5413"
"South Carolina,2015,7,1.58842,90,13,5666"
"South Dakota,2015,7,1.87772,121,23,6444"
"Tennessee,2015,7,1.50363,87,51,5786"
"Texas,2015,7,4.73512,1953,101,41245"
"Utah,2015,7,2.76383,523,42,18923"
"Vermont,2015,7,4.63245,167,13,3605"
"Virginia,2015,7,2.43285,2048,124,84181"
"Washington,2015,7,0.951916,39,36,4097"
"West Virginia,2015,7,3.4363,386,39,11233"
"Wisconsin,2015,7,2.35229,170,29,7227"
"Wyoming,2015,7,1.79856,120,24,6672"
"Puerto Rico,2015,7,7.87868,426,7,5407"
"Virgin Islands,2015,7,1.39276,5,1,359"
"New York City,2015,7,2.14247,1899,80,88636"
"Alabama,2015,8,5.52358,451,20,8165"
"Alaska,2015,8,0.523104,6,6,1147"
"Arizona,2015,8,2.30473,532,57,23083"
"Arkansas,2015,8,3.47714,108,14,3106"
"California,2015,8,3.17311,1488,149,46894"
"Colorado,2015,8,1.24238,55,6,4427"
"Connecticut,2015,8,3.9564,265,23,6698"
"Delaware,2015,8,0.86741,28,12,3228"
"District of Columbia,2015,8,5.82294,98,2,1683"
"Florida,2015,8,X,X,X,X"
"Georgia,2015,8,2.63795,665,31,25209"
"Hawaii,2015,8,8.05215,210,17,2608"
"Idaho,2015,8,2.99842,114,10,3802"
"Illinois,2015,8,2.41691,1285,92,53167"
"Indiana,2015,8,1.25375,117,37,9332"
"Iowa,2015,8,1.55417,35,8,2252"
"Kansas,2015,8,3.89291,285,31,7321"
"Kentucky,2015,8,0.369331,79,19,21390"
"Louisiana,2015,8,3.4337,1519,77,44238"
"Maine,2015,8,1.7343,100,30,5766"
"Maryland,2015,8,1.35629,167,33,12313"
"Massachusetts,2015,8,1.13747,293,48,25759"
"Michigan,2015,8,0.802958,139,52,17311"
"Minnesota,2015,8,2.04648,118,16,5766"
"Mississippi,2015,8,6.32893,1293,50,20430"
"Missouri,2015,8,2.40867,209,23,8677"
"Montana,2015,8,0.59812,21,10,3511"
"Nebraska,2015,8,1.48305,42,15,2832"
"Nevada,2015,8,1.16532,150,26,12872"
"New Hampshire,2015,8,0.779111,37,27,4749"
"New Jersey,2015,8,4.0146,187,16,4658"
"New Mexico,2015,8,2.75534,348,27,12630"
"New York,2015,8,2.72662,305,82,11186"
"North Carolina,2015,8,3.04097,363,46,11937"
"North Dakota,2015,8,1.58866,37,11,2329"
"Ohio,2015,8,1.01945,163,54,15989"
"Oklahoma,2015,8,8.48383,202,17,2381"
"Oregon,2015,8,0.384615,11,8,2860"
"Pennsylvania,2015,8,1.974,331,55,16768"
"Rhode Island,2015,8,1.03734,70,20,6748"
"South Carolina,2015,8,1.56058,89,13,5703"
"South Dakota,2015,8,1.9298,127,24,6581"
"Tennessee,2015,8,1.19978,89,45,7418"
"Texas,2015,8,4.00071,1580,104,39493"
"Utah,2015,8,2.12272,439,43,20681"
"Vermont,2015,8,3.44637,125,13,3627"
"Virginia,2015,8,1.70949,1618,125,94648"
"Washington,2015,8,1.07634,54,39,5017"
"West Virginia,2015,8,1.94764,276,37,14171"
"Wisconsin,2015,8,2.52937,183,29,7235"
"Wyoming,2015,8,2.04493,132,25,6455"
"Puerto Rico,2015,8,7.55727,353,6,4671"
"Virgin Islands,2015,8,0,0,0,0"
"New York City,2015,8,1.85326,1849,95,99770"
"Alabama,2015,9,5.87052,496,22,8449"
"Alaska,2015,9,0.539568,6,6,1112"
"Arizona,2015,9,1.84192,457,56,24811"
"Arkansas,2015,9,4.51475,127,15,2813"
"California,2015,9,3.07302,1369,148,44549"
"Colorado,2015,9,1.17759,37,6,3142"
"Connecticut,2015,9,2.71553,143,18,5266"
"Delaware,2015,9,0.790663,21,11,2656"
"District of Columbia,2015,9,5.53977,78,2,1408"
"Florida,2015,9,X,X,X,X"
"Georgia,2015,9,2.38229,592,32,24850"
"Hawaii,2015,9,8.73866,212,17,2426"
"Idaho,2015,9,2.77553,103,10,3711"
"Illinois,2015,9,2.60679,1359,91,52133"
"Indiana,2015,9,1.39993,118,38,8429"
"Iowa,2015,9,0.913441,21,8,2299"
"Kansas,2015,9,4.30108,312,31,7254"
"Kentucky,2015,9,0.244362,48,19,19643"
"Louisiana,2015,9,3.20977,1479,80,46078"
"Maine,2015,9,1.94346,99,29,5094"
"Maryland,2015,9,1.02528,103,34,10046"
"Massachusetts,2015,9,1.45583,367,43,25209"
"Michigan,2015,9,0.967417,144,47,14885"
"Minnesota,2015,9,2.36808,127,16,5363"
"Mississippi,2015,9,6.42088,1247,50,19421"
"Missouri,2015,9,2.20076,196,22,8906"
"Montana,2015,9,0.4,14,10,3500"
"Nebraska,2015,9,1.75055,48,15,2742"
"Nevada,2015,9,1.16225,149,26,12820"
"New Hampshire,2015,9,0.765249,34,25,4443"
"New Jersey,2015,9,2.53917,188,25,7404"
"New Mexico,2015,9,2.38854,285,27,11932"
"New York,2015,9,2.51903,278,83,11036"
"North Carolina,2015,9,2.08497,345,50,16547"
"North Dakota,2015,9,1.21239,27,10,2227"
"Ohio,2015,9,1.01415,139,46,13706"
"Oklahoma,2015,9,5.82613,128,17,2197"
"Oregon,2015,9,0.588043,18,9,3061"
"Pennsylvania,2015,9,2.71926,333,49,12246"
"Rhode Island,2015,9,0.780869,48,19,6147"
"South Carolina,2015,9,1.2911,75,13,5809"
"South Dakota,2015,9,1.68624,112,24,6642"
"Tennessee,2015,9,1.94798,170,49,8727"
"Texas,2015,9,4.28631,1751,104,40851"
"Utah,2015,9,2.4169,477,42,19736"
"Vermont,2015,9,3.08229,106,13,3439"
"Virginia,2015,9,1.75565,1682,125,95805"
"Washington,2015,9,1.07128,52,36,4854"
"West Virginia,2015,9,1.87354,216,36,11529"
"Wisconsin,2015,9,2.64821,197,28,7439"
"Wyoming,2015,9,2.07863,129,25,6206"
"Puerto Rico,2015,9,6.96457,346,7,4968"
"Virgin Islands,2015,9,1.14286,4,1,350"
"New York City,2015,9,1.62769,1545,88,94920"
"Alabama,2015,10,4.71464,418,20,8866"
"Alaska,2015,10,0.542005,6,6,1107"
"Arizona,2015,10,1.54041,365,53,23695"
"Arkansas,2015,10,3.46331,135,15,3898"
"California,2015,10,3.17645,1472,142,46341"
"Colorado,2015,10,1.26732,43,4,3393"
"Connecticut,2015,10,2.73245,144,23,5270"
"Delaware,2015,10,0.418545,13,12,3106"
"District of Columbia,2015,10,7.28424,92,2,1263"
"Florida,2015,10,X,X,X,X"
"Georgia,2015,10,1.97436,422,31,21374"
"Hawaii,2015,10,8.16012,212,17,2598"
"Idaho,2015,10,3.04081,114,10,3749"
"Illinois,2015,10,2.62478,1484,91,56538"
"Indiana,2015,10,2.06722,155,35,7498"
"Iowa,2015,10,1.02816,23,8,2237"
"Kansas,2015,10,4.12485,300,31,7273"
"Kentucky,2015,10,0.37317,79,19,21170"
"Louisiana,2015,10,3.45693,1695,82,49032"
"Maine,2015,10,1.70555,87,29,5101"
"Maryland,2015,10,1.1649,141,31,12104"
"Massachusetts,2015,10,1.50027,365,45,24329"
"Michigan,2015,10,0.891856,159,50,17828"
"Minnesota,2015,10,2.59921,131,16,5040"
"Mississippi,2015,10,5.5252,991,48,17936"
"Missouri,2015,10,2.44123,108,21,4424"
"Montana,2015,10,0.71708,22,9,3068"
"Nebraska,2015,10,2.20345,60,15,2723"
"Nevada,2015,10,1.49568,199,27,13305"
"New Hampshire,2015,10,0.614667,29,26,4718"
"New Jersey,2015,10,2.24284,191,25,8516"
"New Mexico,2015,10,2.56288,323,27,12603"
"New York,2015,10,1.8082,191,81,10563"
"North Carolina,2015,10,1.83788,229,47,12460"
"North Dakota,2015,10,1.64939,35,10,2122"
"Ohio,2015,10,0.921524,126,44,13673"
"Oklahoma,2015,10,7.09603,184,16,2593"
"Oregon,2015,10,0.565698,22,14,3889"
"Pennsylvania,2015,10,1.88728,221,54,11710"
"Rhode Island,2015,10,0.874727,56,20,6402"
"South Carolina,2015,10,0.875182,42,13,4799"
"South Dakota,2015,10,1.51797,98,23,6456"
"Tennessee,2015,10,0.769849,67,48,8703"
"Texas,2015,10,4.17538,1577,104,37769"
"Utah,2015,10,1.96868,386,42,19607"
"Vermont,2015,10,2.20796,86,13,3895"
"Virginia,2015,10,1.62989,1648,124,101111"
"Washington,2015,10,1.11298,53,39,4762"
"West Virginia,2015,10,1.12277,169,38,15052"
"Wisconsin,2015,10,2.59362,196,27,7557"
"Wyoming,2015,10,1.51281,88,23,5817"
"Puerto Rico,2015,10,6.74732,290,6,4298"
"Virgin Islands,2015,10,1.38889,5,1,360"
"New York City,2015,10,1.72961,1788,93,103376"
"Alabama,2015,11,3.90324,334,20,8557"
"Alaska,2015,11,0,0,6,1271"
"Arizona,2015,11,1.65807,402,53,24245"
"Arkansas,2015,11,3.08406,113,14,3664"
"California,2015,11,2.9528,1278,138,43281"
"Colorado,2015,11,1.47271,51,5,3463"
"Connecticut,2015,11,2.10243,78,21,3710"
"Delaware,2015,11,0.242204,8,12,3303"
"District of Columbia,2015,11,5.33507,82,2,1537"
"Florida,2015,11,X,X,X,X"
"Georgia,2015,11,1.57449,398,31,25278"
"Hawaii,2015,11,4.90196,115,16,2346"
"Idaho,2015,11,2.76409,101,10,3654"
"Illinois,2015,11,2.80325,1562,92,55721"
"Indiana,2015,11,1.6775,142,37,8465"
"Iowa,2015,11,1.59872,20,8,1251"
"Kansas,2015,11,2.83699,177,33,6239"
"Kentucky,2015,11,0.47423,106,18,22352"
"Louisiana,2015,11,3.10502,1564,79,50370"
"Maine,2015,11,1.51289,81,30,5354"
"Maryland,2015,11,1.19675,134,30,11197"
"Massachusetts,2015,11,1.50587,408,46,27094"
"Michigan,2015,11,1.0895,172,50,15787"
"Minnesota,2015,11,2.75626,153,17,5551"
"Mississippi,2015,11,4.21696,821,47,19469"
"Missouri,2015,11,2.01586,89,19,4415"
"Montana,2015,11,0.795229,24,9,3018"
"Nebraska,2015,11,2.3017,65,15,2824"
